Video ID,Title,Views,Likes,Comments,Thumbnail URL,Extracted Text,Sentiment Polarity,Sentiment Subjectivity,Image Format,Width,Height,Resolution,Aspect Ratio,Brightness,Contrast,Saturation,Hue,Estimated Gamma,Sharpness,White Balance Deviation,Exposure,Face Present,Num Faces,Face Size Ratios,Dominant Emotions
7MXz-fRpYRA,Black Friday Sale is Live | Upto 40% Off,34,0,0,https://i.ytimg.com/vi/7MXz-fRpYRA/hqdefault.jpg,,,,JPEG,480,360,172800,1.3333333333333333,73.29117476851852,58.18507600977623,88.90679398148148,30.611452546296295,1.7987858528105034,778.3656116543158,24.5947511574074,73.29117476851852,True,1,0.1102,error
zLhOQxCC1-o,Black Friday Sale is Live | Upto 40% Off,20,0,0,https://i.ytimg.com/vi/zLhOQxCC1-o/hqdefault.jpg,,,,JPEG,480,360,172800,1.3333333333333333,72.95875578703703,58.21725082076497,88.71913773148148,30.691822916666666,1.8053442154729147,728.0369833474995,24.349496527777774,72.95875578703703,True,1,0.0993,error
9ZMxpJQF-o0,Black Friday Sale is Live | Upto 40% Off,26,1,0,https://i.ytimg.com/vi/9ZMxpJQF-o0/hqdefault.jpg,"BLACK |’
FRIDAY | o--°",-0.16666666666666666,0.43333333333333335,JPEG,480,360,172800,1.3333333333333333,122.84252314814815,84.88098683202362,29.010700231481483,33.668310185185184,1.0536871968350372,1326.7236804578993,8.19537615740741,122.84252314814815,True,1,0.0151,error
wVDKGPO9P_Y,"Designed for days on-the-move, Shop our Travel Series ranging from Business to Travel",8797,19,0,https://i.ytimg.com/vi/wVDKGPO9P_Y/hqdefault.jpg,,,,JPEG,480,360,172800,1.3333333333333333,113.46069444444444,69.91047189136476,24.49575810185185,26.039056712962964,1.1683046478155634,624.654768083285,9.367343750000003,113.46069444444444,False,0,,
IPBkO53pzbk,"Designed for days on-the-move, Shop our Travel Series ranging from Business to Travel",14328,238,0,https://i.ytimg.com/vi/IPBkO53pzbk/hqdefault.jpg,,,,JPEG,480,360,172800,1.3333333333333333,90.71235532407407,67.34135350085747,17.003119212962964,23.296082175925925,1.491126277978388,640.4384371093751,4.777413194444449,90.71235532407407,True,1,0.0056,error
t3QaMfJgVsA,7 days no Iron no Wash,47394,252,0,https://i.ytimg.com/vi/t3QaMfJgVsA/hqdefault.jpg,,,,JPEG,480,360,172800,1.3333333333333333,83.41622685185185,53.50705924891646,57.01973379629629,20.67632523148148,1.6120972853812834,242.4213434156043,18.501967592592592,83.41622685185185,True,1,0.3852,error
3Vl8Gt2Gd4w,"Little Ones, Big Style! New Season, New Arrivals",20,0,0,https://i.ytimg.com/vi/3Vl8Gt2Gd4w/hqdefault.jpg,,,,JPEG,480,360,172800,1.3333333333333333,92.82820023148147,66.21863009839494,84.21586226851852,24.75349537037037,1.4578621944446415,668.2871645821277,31.2125925925926,92.82820023148147,False,0,,
SxbQDlnoT7Y,Rare Rabbit Italian Collection AW24,41853,16,0,https://i.ytimg.com/vi/SxbQDlnoT7Y/hqdefault.jpg,,,,JPEG,480,360,172800,1.3333333333333333,91.04329282407407,71.59938181594747,64.46565972222223,32.70713541666667,1.4858726044604242,589.9319443467883,14.418559027777775,91.04329282407407,True,1,0.0052,error
SynryyriuSk,Rare Rabbit Italian Collection AW24,78845,23,0,https://i.ytimg.com/vi/SynryyriuSk/hqdefault.jpg,,,,JPEG,480,360,172800,1.3333333333333333,99.61140625,80.28820039937177,60.94921875,22.598229166666666,1.3561143908616575,774.7103864317759,25.186111111111117,99.61140625,False,0,,
EPvXu4x1ABY,Grab The Latest Streetwear Collection By Rare Rabbit,20349,77,0,https://i.ytimg.com/vi/EPvXu4x1ABY/hqdefault.jpg,,,,JPEG,480,360,172800,1.3333333333333333,108.5225,80.8267695831647,15.577332175925926,44.77217013888889,1.2325030590397168,460.8638217399691,1.068877314814813,108.5225,False,0,,
wqOAdR8FKQQ,Rare Rabbit Italian Collection AW24,26515,372,0,https://i.ytimg.com/vi/wqOAdR8FKQQ/hqdefault.jpg,,,,JPEG,480,360,172800,1.3333333333333333,31.27933449074074,34.452380397678716,144.46137152777777,23.79844328703704,3.027215524247008,278.8555313238115,22.482690972222226,31.27933449074074,True,1,0.0122,error
xeenxVuGyB4,Rare Rabbit Italian Collection AW24,32883,551,0,https://i.ytimg.com/vi/xeenxVuGyB4/hqdefault.jpg,,,,JPEG,480,360,172800,1.3333333333333333,38.399421296296296,41.56396592667729,161.8978587962963,28.284681712962964,2.7313407731931534,94.5200532487448,29.1621875,38.399421296296296,True,1,0.0128,error
k65WsP-y9oE,"Timeless Style, Effortless Comfort",1289,11,0,https://i.ytimg.com/vi/k65WsP-y9oE/hqdefault.jpg,,,,JPEG,480,360,172800,1.3333333333333333,147.92945601851852,87.9223765282764,2.109965277777778,3.924866898148148,0.7855878936288334,483.4314351851852,0.578125,147.92945601851852,False,0,,
Lanbg59n3Rg,AXIOM - LIVE NOW.,155,15,0,https://i.ytimg.com/vi/Lanbg59n3Rg/hqdefault.jpg,,,,JPEG,480,360,172800,1.3333333333333333,78.61027199074074,61.717403994568656,85.78664930555556,78.56023726851852,1.6977075004565887,1077.5234324443466,21.671637731481482,78.61027199074074,False,0,,
iUEi4s81F8I,Kairos + Kairos Pro | The coolest new sneakers in town.,2762,17,0,https://i.ytimg.com/vi/iUEi4s81F8I/hqdefault.jpg,,,,JPEG,480,360,172800,1.3333333333333333,126.5386400462963,77.94813112471466,7.752517361111111,8.639108796296297,1.0109192511685792,417.5008788353855,2.533721064814813,126.5386400462963,False,0,,
5l8XBIB_IXI,Introducing Kairos + Kairos Pro,11537,3,0,https://i.ytimg.com/vi/5l8XBIB_IXI/hqdefault.jpg,,,,JPEG,480,360,172800,1.3333333333333333,69.43861689814815,51.043071574170746,78.04522569444444,94.34696759259259,1.8766871299905872,351.7539856915174,2.6460069444444514,69.43861689814815,False,0,,
sVM0zQsbEhc,Rise with Luna,10215,4,0,https://i.ytimg.com/vi/sVM0zQsbEhc/hqdefault.jpg,,,,JPEG,480,360,172800,1.3333333333333333,101.1228125,60.64408355968081,7.274322916666667,6.3799826388888885,1.3343887526319562,319.23114510874814,2.2417534722222143,101.1228125,False,0,,
v8UUPBxneig,Colour Block Sneakers - LUNA,268,0,0,https://i.ytimg.com/vi/v8UUPBxneig/hqdefault.jpg,"Tiina

Comfortable &
Low Profile",0.2,0.55,JPEG,480,360,172800,1.3333333333333333,129.17378472222222,81.29911710706851,10.30267361111111,17.93818865740741,0.9811839362532025,876.2014521910029,1.2564756944444468,129.17378472222222,False,0,,
uwA0ykU1FIo,Endless Possibilities with Vortex Sneakers,66,1,0,https://i.ytimg.com/vi/uwA0ykU1FIo/hqdefault.jpg,,,,JPEG,480,360,172800,1.3333333333333333,44.202395833333334,43.465196899153746,43.24741319444445,57.74552083333333,2.528300774092467,724.4364920647937,5.1313888888888854,44.202395833333334,False,0,,
-4-gVeXJVhg,Introducing Best Sneaker ASCEND,341,7,0,https://i.ytimg.com/vi/-4-gVeXJVhg/hqdefault.jpg,,,,JPEG,480,360,172800,1.3333333333333333,90.19524884259259,75.09964281718719,70.56726851851852,60.635439814814816,1.4993739024128048,1017.5332323840645,14.613396990740739,90.19524884259259,False,0,,
1TE7Dv3fEOc,Introducing ASCEND,1871,5,0,https://i.ytimg.com/vi/1TE7Dv3fEOc/hqdefault.jpg,,,,JPEG,480,360,172800,1.3333333333333333,107.03657407407407,70.47564208728349,17.73075810185185,12.512251157407407,1.252393401678234,624.2088425763836,4.247881944444444,107.03657407407407,False,0,,
JGVTVEqivcQ,Rare Rabbit X Sunny Arora,117,2,0,https://i.ytimg.com/vi/JGVTVEqivcQ/hqdefault.jpg,,,,JPEG,480,360,172800,1.3333333333333333,80.75308449074075,64.29987282257878,40.047349537037036,64.46445023148148,1.658907975112211,1085.14475997296,2.4831655092592655,80.75308449074075,True,2,"0.0343,0.0380","error,error"
ZfxQINDJ4tg,Introducing Carnival Collection | By Rare Rabbit,210042,11,0,https://i.ytimg.com/vi/ZfxQINDJ4tg/hqdefault.jpg,,,,JPEG,480,360,172800,1.3333333333333333,48.84508101851852,44.48294114995003,58.944583333333334,90.0825636574074,2.3842120601772487,368.3082696758924,14.56892939814815,48.84508101851852,True,1,0.0156,error
wOQFpN81QBQ,Introducing Carnival Collection | By Rare Rabbit,10255,9,0,https://i.ytimg.com/vi/wOQFpN81QBQ/hqdefault.jpg,,,,JPEG,480,360,172800,1.3333333333333333,23.554675925925928,20.715208648223182,157.2307638888889,108.98671296296297,3.436411858969093,71.80934574970932,27.56394675925926,23.554675925925928,True,3,"0.0268,0.0933,0.0245","error,error,error"
